college_id, college_name ,city ,state, college_tier, nirf_rank ,accreditation,total_seats
CLG_1001,Indian Institute of Technology Madras (IITM),Chennai,Tamil Nadu,Tier 1,1,Institute of Eminence,1200
CLG_1002,National Institute of Technology Tiruchirappalli (NIT Trichy),Tiruchirappalli,Tamil Nadu,Tier 1,9,NBA,1050
CLG_1003,Vellore Institute of Technology (VIT),Vellore,Tamil Nadu,Tier 1,16,NAAC A++,4500
CLG_1004,SRM Institute of Science and Technology,Chennai,Tamil Nadu,Tier 1,14,NAAC A++,5000
CLG_1005,"College of Engineering, Guindy (Anna University)",Chennai,Tamil Nadu,Tier 1,20,NAAC A,1500
CLG_1006,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,Tier 1,23,NAAC A++,2400
CLG_1007,SASTRA Deemed University,Thanjavur,Tamil Nadu,Tier 1,40,NAAC A++,3000
CLG_1008,PSG College of Technology,Coimbatore,Tamil Nadu,Tier 1,67,NAAC A,1800
CLG_1009,SSN College of Engineering,Chennai,Tamil Nadu,Tier 1,47,NAAC A++,1200
CLG_1010,Sathyabama Institute of Science and Technology,Chennai,Tamil Nadu,Tier 2,67,NAAC A++,3500
CLG_1011,Thiagarajar College of Engineering,Madurai,Tamil Nadu,Tier 2,101,NAAC A+,960
CLG_1012,Coimbatore Institute of Technology,Coimbatore,Tamil Nadu,Tier 2,105,NAAC A,900
CLG_1013,Rajalakshmi Engineering College,Chennai,Tamil Nadu,Tier 2,110,NAAC A++,1980
CLG_1014,Chennai Institute of Technology,Chennai,Tamil Nadu,Tier 2,120,NAAC A+,1140
CLG_1015,Kongu Engineering College,Erode,Tamil Nadu,Tier 2,130,NAAC A++,1620
CLG_1016,Government College of Technology,Coimbatore,Tamil Nadu,Tier 2,160,NAAC A,720
CLG_1017,Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,Tier 2,100,NAAC A,1320
CLG_1018,Vel Tech Rangarajan Dr. Sagunthala R&D Institute,Chennai,Tamil Nadu,Tier 3,87,NAAC A++,2500
CLG_1019,National Institute of Technology Karnataka (NIT Surathkal),Mangaluru,Karnataka,Tier 1,17,NBA,940
CLG_1020,R.V. College of Engineering,Bengaluru,Karnataka,Tier 2,102,NAAC A+,1200
CLG_1021,National Institute of Technology Calicut,Kozhikode,Kerala,Tier 1,21,NBA,1150
CLG_1022,College of Engineering Trivandrum,Thiruvananthapuram,Kerala,Tier 2,104,NBA,1000
CLG_1023,Koneru Lakshmaiah Education Foundation (KL University),Vaddeswaram,Andhra Pradesh,Tier 1,35,NAAC A++,3800
CLG_1024,Christian Medical College (CMC),Vellore,Tamil Nadu,Tier 1,3,"NMC, NABH",100
CLG_1025,JIPMER (Jawaharlal Institute of Postgraduate Medical Education & Research),Puducherry,Puducherry,Tier 1,4,Institute of National Importance,243
CLG_1026,Amrita School of Medicine,Coimbatore,Tamil Nadu,Tier 1,9,NAAC A++,150
CLG_1027,Madras Medical College (MMC),Chennai,Tamil Nadu,Tier 1,16,NMC Status,250
CLG_1028,PSG Institute of Medical Sciences and Research,Coimbatore,Tamil Nadu,Tier 2,43,"NAAC A, ISO Certified",250
CLG_1029,Stanley Medical College (SMC),Chennai,Tamil Nadu,Tier 2,51,NMC Status,250
CLG_1030,Government Kilpauk Medical College,Chennai,Tamil Nadu,Tier 2,101,NMC Status,150
CLG_1031,Madurai Medical College,Madurai,Tamil Nadu,Tier 2,121,NMC Status,250
CLG_1032,Coimbatore Medical College,Coimbatore,Tamil Nadu,Tier 2,151,NMC Status,200
CLG_1033,Tirunelveli Medical College,Tirunelveli,Tamil Nadu,Tier 2,153,NMC Status,250
